19197,,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Season,Age,TeamAbbr,Lg,G,PTS,TeamSeason,TeamLg,TeamName,TeamCoaches,TeamFrom,TeamTo,TeamYrs,TeamG,TeamW,TeamL,TeamChamp,ArenaTeam,ArenaStart-End,Arena,ArenaLocation,ArenaCapacity
1,Quincy Acy,2013-2014,23,TOR,NBA,1,9,2013-2014,NBA,Toronto Raptors,D. Casey ,1996,2014,19,1435,584,851,0,Toronto Raptors,1999-2014,AirCanadaCentre,TorontoON,19500
2,Steven Adams,2013-2014,20,OKC,NBA,6,36,2013-2014,NBA,Oklahoma City Thunder,S. Brooks ,2009,2014,6,400,240,160,0,Oklahoma City Thunder,2007-2014,ChesapeakeEnergyArena,OklahomaCityOK,18203
3,Jeff Adrien,2013-2014,27,CHA,NBA,6,17,2013-2014,NBA,Charlotte Bobcats,S. Clifford ,2005,2014,10,728,253,475,0,Charlotte Bobcats,2005-2014,TimeWarnerCableArena,CharlotteNC,19077
4,Arron Afflalo,2013-2014,28,ORL,NBA,7,138,2013-2014,NBA,Orlando Magic,J. Vaughn ,1990,2014,25,1927,982,945,0,Orlando Magic,2010-2014,AmwayCenter,OrlandoFL,18846
5,Cole Aldrich,2013-2014,25,NYK,NBA,2,2,2013-2014,NBA,New York Knicks,M. Woodson ,1947,2014,68,5235,2617,2618,2,New York Knicks,1968-2014,MadisonSquareGardenIV,NewYorkNY,19763
6,LaMarcus Aldridge,2013-2014,28,POR,NBA,6,140,2013-2014,NBA,Portland Trail Blazers,T. Stotts ,1971,2014,44,3484,1846,1638,1,Portland Trail Blazers,1995-2014,ModaCenter,PortlandOR,21538
7,Lavoy Allen,2013-2014,24,PHI,NBA,7,37,2013-2014,NBA,Philadelphia 76ers,B. Brown ,1964,2014,51,4052,2107,1945,2,Philadelphia 76ers,2009-2014,WellsFargoCenter,PhiladelphiaPA,20328
8,Ray Allen,2013-2014,38,MIA,NBA,7,77,2013-2014,NBA,Miami Heat,E. Spoelstra ,1989,2014,26,2009,1035,974,3,Miami Heat,1999-2014,AmericanAirlinesArena,MiamiFL,19600
9,Tony Allen,2013-2014,32,MEM,NBA,6,57,2013-2014,NBA,Memphis Grizzlies,D. Joerger ,2002,2014,13,974,449,525,0,Memphis Grizzlies,2004-2014,FedExForum,MemphisTen,18119
10,Al Farouq Aminu,2013-2014,23,NOP,NBA,7,39,2013-2014,NBA,New Orleans Pelicans,M. Williams ,2014,2014,1,7,3,4,,New Orleans Pelicans,2001-2014,NewOrleansArena,NewOrleans,17003
